ID,start_X,start_Y,start_Z,start_node_type,end_X,end_Y,end_Z,end_node_type,Edge_Length,Length_Adjusted_m,LED_Ring_Diameter_m,strip_start_x,strip_start_y,strip_start_z,strip_end_x,strip_end_y,strip_end_z,Data_Flow_Start_Node_ID,Data_Flow_End_Node_ID
114,16.764,45.110398,1.0668,ArtNet,22.860001,45.110398,1.0668,Regular,6.10,5.30,0.80,17.164000,45.110398,1.066800,22.460001,45.110398,1.066800,20,28
115,22.860001,10.668000000000006,1.0668,Regular,28.955994,4.571999000000005,2.7914,ArtNet,8.79,7.99,0.80,23.137348,10.390652,1.145264,28.678647,4.849347,2.712936,32,26
116,22.860001,57.30239900000001,1.0668,Regular,28.956001,57.30239900000001,1.0668,ArtNet,6.10,5.30,0.80,23.260001,57.302399,1.066800,28.556001,57.302399,1.066800,41,30
117,28.956001,45.11040200000001,1.0668,ArtNet,35.052006,41.148,1.0668,ArtNet,7.27,6.47,0.80,29.291378,44.892407,1.066800,34.716629,41.365995,1.066800,29,45
118,28.956001,45.11040200000001,1.0668,ArtNet,28.956001,51.20640100000001,1.0668,Regular,6.10,5.30,0.80,28.956001,45.510402,1.066800,28.956001,50.806401,1.066800,29,34
119,28.955994,22.860001000000004,1.0668,ArtNet,28.956001,28.955998000000008,1.0668,Regular,6.10,5.30,0.80,28.955994,23.260001,1.066800,28.956001,28.555998,1.066800,37,38
120,28.956001,28.955998000000008,1.0668,Regular,28.956001,35.051999,1.0668,ArtNet,6.10,5.30,0.80,28.956001,29.355998,1.066800,28.956001,34.651999,1.066800,40,38
121,35.052006,41.148,1.0668,ArtNet,41.147999,41.148,1.0668,Regular,6.10,5.30,0.80,35.452006,41.148000,1.066800,40.747999,41.148000,1.066800,45,50
122,35.052002,57.30239900000001,1.0668,ArtNet,41.148003,51.20640100000001,1.0668,ArtNet,8.62,7.82,0.80,35.334845,57.019556,1.066800,40.865160,51.489244,1.066800,52,35
123,35.052002,69.49440100000001,1.0668,ArtNet,35.052002,75.590399,2.7506,ArtNet,6.32,5.52,0.80,35.052002,69.879963,1.173298,35.052002,75.204837,2.644102,47,46
124,35.052006,22.860001000000004,1.0668,ArtNet,35.052006,16.764001000000007,1.0668,ArtNet,6.10,5.30,0.80,35.052006,22.460001,1.066800,35.052006,17.164001,1.066800,49,48
125,35.052006,16.764001000000007,1.0668,ArtNet,41.147999,16.764001000000007,1.0668,ArtNet,6.10,5.30,0.80,35.452006,16.764001,1.066800,40.747999,16.764001,1.066800,49,54
126,41.147999,41.148,1.0668,Regular,47.243999,35.051999,1.0668,ArtNet,8.62,7.82,0.80,41.430842,40.865157,1.066800,46.961156,35.334842,1.066800,58,50
127,41.148003,51.20640100000001,1.0668,ArtNet,47.244003,51.20640100000001,1.0668,Regular,6.10,5.30,0.80,41.548003,51.206401,1.066800,46.844003,51.206401,1.066800,52,60
128,41.147999,69.49440000000001,1.0668,Regular,47.243999,69.49440100000001,1.0668,ArtNet,6.10,5.30,0.80,41.547999,69.494400,1.066800,46.843999,69.494401,1.066800,62,53
129,41.147999,16.764001000000007,1.0668,ArtNet,47.243999,22.860001000000004,1.0668,ArtNet,8.62,7.82,0.80,41.430842,17.046844,1.066800,46.961156,22.577158,1.066800,54,64
130,41.147999,28.955998000000008,1.0668,Regular,47.243999,22.860001000000004,1.0668,ArtNet,8.62,7.82,0.80,41.430842,28.673155,1.066800,46.961156,23.142844,1.066800,64,56
131,51.206402,63.39840000000001,1.0668,ArtNet,57.302399,63.39840000000001,1.0668,Regular,6.10,5.30,0.80,51.606402,63.398400,1.066800,56.902399,63.398400,1.066800,67,73
132,51.206402,63.39840000000001,1.0668,ArtNet,51.206402,57.30239900000001,1.0668,ArtNet,6.10,5.30,0.80,51.206402,62.998400,1.066800,51.206402,57.702399,1.066800,67,61
133,51.206402,41.148,1.0668,ArtNet,57.302399,45.110398,1.0668,Regular,7.27,6.47,0.80,51.541779,41.365995,1.066800,56.967022,44.892403,1.066800,69,76
134,51.206402,28.955998000000008,1.0668,ArtNet,57.302399,28.955998000000008,1.0668,Regular,6.10,5.30,0.80,51.606402,28.955998,1.066800,56.902399,28.955998,1.066800,59,77
135,57.302399,35.051999,1.0668,Regular,63.398399,41.148,1.0668,ArtNet,8.62,7.82,0.80,57.585242,35.334842,1.066800,63.115556,40.865157,1.066800,80,75
136,57.302399,10.668000000000006,1.0668,ArtNet,63.398399,10.668000000000006,1.0668,ArtNet,6.10,5.30,0.80,57.702399,10.668000,1.066800,62.998399,10.668000,1.066800,82,70
137,57.302402,51.20640100000001,1.0668,ArtNet,63.398399,57.302397000000006,1.0668,ArtNet,8.62,7.82,0.80,57.585245,51.489244,1.066800,63.115556,57.019554,1.066800,83,71
138,63.398399,69.49440100000001,1.0668,ArtNet,69.4944,75.590399,2.7506,ArtNet,8.78,7.98,0.80,63.675997,69.771998,1.143476,69.216802,75.312802,2.673924,85,74
139,63.398399,41.148,1.0668,ArtNet,69.4944,35.051999,1.0668,Regular,8.62,7.82,0.80,63.681242,40.865157,1.066800,69.211557,35.334842,1.066800,80,87
140,63.398399,22.860001000000004,1.0668,ArtNet,69.4944,22.860001000000004,1.0668,Regular,6.10,5.30,0.80,63.798399,22.860001,1.066800,69.094400,22.860001,1.066800,78,89
141,63.398399,10.668000000000006,1.0668,ArtNet,69.4944,4.571999000000005,2.7914,ArtNet,8.79,7.99,0.80,63.675747,10.390652,1.145264,69.217052,4.849347,2.712936,91,82
142,69.4944,75.590399,2.7506,ArtNet,72.5424,78.4162,4.8577,Intercom,4.66,3.86,0.80,69.756033,75.832959,2.931468,72.280767,78.173640,4.676832,85,98
143,69.4944,35.051999,1.0668,Regular,75.590393,28.955994000000004,1.0668,ArtNet,8.62,7.82,0.80,69.777242,34.769156,1.066800,75.307551,29.238837,1.066800,102,87
